[0x00002c40] | DbCommon2            | INFO  | 2020-07-21 12:34:06,022 | Loading dblist file: C:\Users\Roussel\AppData\Roaming\Blackmagic Design\DaVinci Resolve\Preferences\dblist.conf
[0x00005398] | DtManager            | INFO  | 2020-07-21 12:34:06,022 | Dt Worker Thread Started
[0x0000438c] | DtManager            | INFO  | 2020-07-21 12:34:06,022 | Dt Worker Thread Started
[0x00000d48] | DtManager            | INFO  | 2020-07-21 12:34:06,023 | Dt Worker Thread Started
[0x000024b8] | DtManager            | INFO  | 2020-07-21 12:34:06,023 | Dt Worker Thread Started
[0x000047a0] | DtManager            | INFO  | 2020-07-21 12:34:06,023 | Dt Worker Thread Started
[0x000044d0] | DtManager            | INFO  | 2020-07-21 12:34:06,023 | Dt Worker Thread Started
[0x00001bec] | DtManager            | INFO  | 2020-07-21 12:34:06,023 | Dt Worker Thread Started
[0x0000449c] | DtManager            | INFO  | 2020-07-21 12:34:06,024 | Dt Data Handler Thread Started
[0x000051e0] | DtManager            | INFO  | 2020-07-21 12:34:06,024 | Dt Worker Thread Started
[0x00002ed0] | DtManager            | INFO  | 2020-07-21 12:34:06,024 | Dt Worker Thread Started
[0x000030d4] | GPUManager           | INFO  | 2020-07-21 12:34:06,026 | Let There Be CUDA Light!
[0x00002fa8] | DtManager            | INFO  | 2020-07-21 12:34:06,026 | Dt Worker Thread Started
[0x000030d4] | GPUManager           | INFO  | 2020-07-21 12:34:06,035 | Board manager thread id 0xcdafea80 policy 0 priority 0
[0x000031b0] | GPUManager           | INFO  | 2020-07-21 12:34:06,035 | Initializing GPU board 0 with context thread 0
[0x00002c40] | IO                   | INFO  | 2020-07-21 12:34:06,123 | Using DNxHR library v2.5.2.68r
[0x00002c40] | IO                   | INFO  | 2020-07-21 12:34:06,126 | Kdu ctx(0), bundle(0), thds(1)
[0x00002c40] | IO                   | INFO  | 2020-07-21 12:34:06,126 | Kdu ctx(0), bundle(1), thds(1)
[0x00002c40] | IO                   | INFO  | 2020-07-21 12:34:06,126 | Kdu ctx(0), bundle(2), thds(1)
[0x00002c40] | IO                   | INFO  | 2020-07-21 12:34:06,126 | Kdu ctx(0), bundle(3), thds(1)
[0x00002c40] | IO                   | INFO  | 2020-07-21 12:34:06,127 | Kdu ctx(0), bundle(4), thds(1)
[0x00002c40] | IO                   | INFO  | 2020-07-21 12:34:06,127 | Kdu ctx(0), bundle(5), thds(1)
[0x00002c40] | IO                   | INFO  | 2020-07-21 12:34:06,127 | Kdu ctx(0), bundle(6), thds(1)
[0x00002c40] | IO                   | INFO  | 2020-07-21 12:34:06,127 | Kdu ctx(0), bundle(7), thds(1)
[0x000031b0] | GPUManager           | INFO  | 2020-07-21 12:34:06,378 | Setting channel cache size on GPU board 0 to 4
[0x000031b0] | GPUManager           | INFO  | 2020-07-21 12:34:06,378 | Board manager 0 on thread 0 initialization done on GPU GeForce GTX 1060
[0x000031b0] | GPUManager           | INFO  | 2020-07-21 12:34:06,378 | Entering loop to wait for commands
[0x000030d4] | GPUManager           | INFO  | 2020-07-21 12:34:06,378 | Finished initializing CUDA board 0 <GeForce GTX 1060> on platform <Nvidia CUDA GPU> clock rate <1670500> multiprocessor count <10> global mem size (MB) 6144, available mem size (MB) 5071, shared mem size (KB) 48, on SBM[0|0]
[0x000030d4] | GPUManager           | INFO  | 2020-07-21 12:34:06,378 | Hired CUDA board 0 <GeForce GTX 1060>
[0x00004df0] | SyManager            | WARN  | 2020-07-21 12:34:08,024 | socket failed to connect to server, error: 10061

[0x00004df0] | SyManager            | ERROR | 2020-07-21 12:34:08,024 | DRIVER: panel connection failed
[0x00002c40] | Fairlight            | INFO  | 2020-07-21 12:34:13,268 | 00.00.06.315(001): Running Fairlight (r000775-55722853)
[0x00002c40] | UI.GLContext         | INFO  | 2020-07-21 12:34:13,329 | Creating shared OpenGL context for this thread (2 total).
[0x00002c40] | UI.GLContext         | INFO  | 2020-07-21 12:34:13,383 | Initialized OpenGL 4.6 (requested 2.0) on device 'NVIDIA Corporation GeForce GTX 1060/PCIe/SSE2'
[0x000030d4] | UI.GLInterop         | INFO  | 2020-07-21 12:34:13,384 | OpenGL interop was initialized.
[0x000030d4] | GPUManager           | INFO  | 2020-07-21 12:34:13,384 | Let There Be CUDA Light, Done!!
[0x000030d4] | GPUManager           | INFO  | 2020-07-21 12:34:13,670 | Using CUDA Pinned Memory!
[0x00002c40] | Fusion               | INFO  | 2020-07-21 12:34:13,787 | Fusion Build: r067060-93f72f0c_006 (Jun  5 2020 13:11:19)
[0x00002c40] | Fusion               | INFO  | 2020-07-21 12:34:13,787 | fusionsystem: = "C:\Program Files\Blackmagic Design\DaVinci Resolve\fusionsystem.dll"
[0x00002c40] | Fusion               | INFO  | 2020-07-21 12:34:13,934 | FusionLibs: = "C:\Program Files\Blackmagic Design\DaVinci Resolve\"
